varname,vardesc,years.avail
affectweather,Estimated percentage who somewhat/strongly agree that global warming is affecting the weather in the United States,"2018, 2019, 2020"
affectweatherOppose,Estimated percentage who somewhat/strongly disagree that global warming is affecting the weather in the United States,"2018, 2019, 2020"
citizens,Estimated percentage who think citizens themselves should be doing more/much more to address global warming,"2018, 2019, 2020"
citizensOppose,Estimated percentage who think citizens themselves should be doing less/much less to address global warming,"2018, 2019, 2020"
CO2limits,Estimated percentage who somewhat/strongly support setting strict limits on existing coal-fire power plants,"2014, 2016, 2018, 2019, 2020"
CO2limitsOppose,Estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,"2014, 2016, 2018, 2019, 2020"
congress,Estimated percentage who think Congress should be doing more/much more to address global warming,"2018, 2019, 2020"
congressOppose,Estimated percentage who think Congress should be doing less/much less to address global warming,"2018, 2019, 2020"
consensus,Estimated percentage who believe that most scientists think global warming is happening,"2014, 2016, 2018, 2019, 2020"
consensusOppose,Estimated percentage who believe there is a lot of disagreement among scientists about whether or not global warming is happening,"2014, 2016, 2018, 2019, 2020"
corporations,Estimated percentage who think corporations and industy should be doing more/much more to address global warming,"2018, 2019, 2020"
corporationsOppose,Estimated percentage who think corporations and industy should be doing less/much less to address global warming,"2018, 2019, 2020"
devharm,Estimated percentage who think global warming will harm people in developing countries a moderate amount/a great deal,"2014, 2016, 2018, 2019, 2020"
devharmOppose,Estimated percentage who think global warming will harm people in developing countries not at all/only a little,"2014, 2016, 2018, 2019, 2020"
discuss,Estimated percentage who discuss global warming occassionally or often with friends and family,"2016, 2018, 2019, 2020"
discussOppose,Estimated percentage who discuss global warming rarely or never with friends and family,"2016, 2018, 2019, 2020"
drillANWR,Estimated percentage who somewhat/strongly support drilling for oil in the Arctic National Wildlife Refuge,"2018, 2019, 2020"
drillANWROppose,Estimated percentage who somewhat/strongly oppose drilling for oil in the Arctic National Wildlife Refuge,"2018, 2019, 2020"
drilloffshore,Estimated percentage who somewhat/strongly support expanding offshore drilling for oil and natural gas off the U.S. coast,"2018, 2019, 2020"
drilloffshoreOppose,Estimated percentage who somewhat/strongly oppose expanding offshore drilling for oil and natural gas off the U.S. coast,"2018, 2019, 2020"
fundrenewables,Estimated percentage who somewhat/strongly support funding research into renewable energy sources,"2014, 2016, 2018, 2019, 2020"
fundrenewablesOppose,Estimated percentage who somewhat/strongly oppose funding research into renewable energy sources,"2014, 2016, 2018, 2019, 2020"
futuregen,Estimated percentage who think global warming will harm future generations a moderate amount/a great deal,"2014, 2016, 2018, 2019, 2020"
futuregenOppose,Estimated percentage who think global warming will harm future generations not at all/only a little,"2014, 2016, 2018, 2019, 2020"
GEOID,Geographic level,2020
GeoName,Geographic name,"2018, 2019, 2020"
GeoType,Geographic level,"2018, 2019, 2020"
governor,Estimated percentage who think their governor should be doing more/much more to address global warming,"2018, 2019, 2020"
governorOppose,Estimated percentage who think their governor should be doing less/much less to address global warming,"2018, 2019, 2020"
gwvoteimp,Estimated percentage who say global warming should be a high priority for the next president and Congress,2020
gwvoteimpOppose,Estimated percentage who do not say global warming should be a high priority for the next president and Congress,2020
happening,Estimated percentage who think that global warming is happening,"2014, 2016, 2018, 2019, 2020"
happeningOppose,Estimated percentage who do not think that global warming is happening,"2014, 2016, 2018, 2019, 2020"
harmplants,Estimated percentage who think global warming will harm plants and animal species a moderate amount/a great deal,"2016, 2018, 2019, 2020"
harmplantsOppose,Estimated percentage who think global warming will harm plants and animal species not at all/only a little,"2016, 2018, 2019, 2020"
harmUS,Estimated percentage who think global warming will harm people in the US a moderate amount/a great deal,"2014, 2016, 2018, 2019, 2020"
harmUSOppose,Estimated percentage who think global warming will harm people in the US not at all/only a little,"2014, 2016, 2018, 2019, 2020"
human,Estimated percentage who think that global warming is caused mostly by human activities,"2014, 2016, 2018, 2019, 2020"
humanOppose,Estimated percentage who think that global warming is caused mostly by natural changes in the environment,"2014, 2016, 2018, 2019, 2020"
localofficials,Estimated percentage who think their local officials should be doing more/much more to address global warming,"2018, 2019, 2020"
localofficialsOppose,Estimated percentage who think their local officials should be doing less/much less to address global warming,"2018, 2019, 2020"
mediaweekly,Estimated percentage who hear about global warming in the media at least weekly,"2016, 2018, 2019, 2020"
mediaweeklyOppose,Estimated percentage who hear about global warming in the media several times a year or less often,"2016, 2018, 2019, 2020"
personal,Estimated percentage who think global warming will harm them personally a moderate amount/a great deal,"2014, 2016, 2018, 2019, 2020"
personalOppose,Estimated percentage who think global warming will harm them personally not at all/only a little,"2014, 2016, 2018, 2019, 2020"
president,Estimated percentage who think the President themselves should be doing more/much more to address global warming,2020
presidentOppose,Estimated percentage who think the President themselves should be doing less/much less to address global warming,2020
prienv,"Estimated percentage who think protecting the environment is more important than economic growth, even if it reduces economic growth","2018, 2019, 2020"
prienvOppose,"Estimated percentage who think economic growth is more important than protecting the environment, even if it leads to environmental problems","2018, 2019, 2020"
priority,Estimated percentage who say a candidate's views on GW are important to their vote,2020
priorityOppose,Estimated percentage who do not say a candidate's views on GW are important to their vote,2020
rebates,Estimated percentage who somewhat/strongly support providing tax rebates for people who purchase energy-efficient vehicles or solar panels,"2018, 2019, 2020"
rebatesOppose,Estimated percentage who somewhat/strongly oppose providing tax rebates for people who purchase energy-efficient vehicles or solar panels,"2018, 2019, 2020"
reducetax,Estimated percentage who somewhat/strongly support requiring fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount,"2018, 2019, 2020"
reducetaxOppose,Estimated percentage who somewhat/strongly oppose requiring fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount,"2018, 2019, 2020"
regulate,Estimated percentage who somewhat/strongly support regulating CO2 as a pollutant,"2014, 2016, 2018, 2019, 2020"
regulateOppose,Estimated percentage who somewhat/strongly oppose regulating CO2 as a pollutant,"2014, 2016, 2018, 2019, 2020"
Statecode,Geographic level,"2014, 2016"
Statename,Geographic name,"2014, 2016"
supportRPS,Estimated percentage who somewhat/strongly support requiring utilities to produce 20% electricity from renewable sources,"2014, 2016, 2018, 2019, 2020"
supportRPSOppose,Estimated percentage who somewhat/strongly oppose requiring utilities to produce 20% electricity from renewable sources,"2014, 2016, 2018, 2019, 2020"
taxdividend,Estimated percentage of population who somewhat/strongly support a carbon tax if refunded to every American household ,2014
taxdividendOppose,Estimated percentage of population who somewhat/strongly oppose a carbon tax if refunded to every American household ,2014
teachGW,"Estimated percentage who somewhat/strongly agree that schools should teach about the causes, consequences, and potential solutions to global warming","2018, 2019, 2020"
teachGWOppose,"Estimated percentage who somewhat/strongly disagree that schools should teach about the causes, consequences, and potential solutions to global warming","2018, 2019, 2020"
timing,Estimated percentage who think global warming will start to harm people in the United now/within 10 years,"2014, 2016, 2018, 2019, 2020"
timingOppose,"Estimated percentage who think global warming will start to harm people in the United in 25 years or longer, or never","2014, 2016, 2018, 2019, 2020"
TotalPop,Total population,"2014, 2016, 2018, 2019, 2020"
trustclimsciSST,Estimated percentage who somewhat or strongly trust climate scientists as a source of information about global warming,2016
trustclimsciSSTOppose,Estimated percentage who somewhat or strongly distrust climate scientists as a source of information about global warming,2016
worried,Estimated percentage who are somewhat/very worried about global warming,"2014, 2016, 2018, 2019, 2020"
worriedOppose,Estimated percentage who are not very/not at all worried about global warming,"2014, 2016, 2018, 2019, 2020"